Date,Open,High,Low,Close,Volume,Adj Close,simple 10-day moving average,weighted 10-day moving average,momentum,%K,%D,output,close of yesterday,close of two days before,close of three days before,close of four days before,close of five days before,,,,,,,
2011/4/18,526.42002,527.65999,519.000018,526.84001,10069500,263.683689,566.1740015,559.7698197,-42.250006,11.89861074,27.97812628,0,530.699977,578.51003,576.280023,570.609979,577.369997,,,,,,,
2011/4/19,529.949995,530.880033,520.900033,521.530018,5362800,261.026035,561.4180017,551.6527318,-52.649995,3.83973417,27.20654646,0,526.84001,530.699977,578.51003,576.280023,570.609979,,,,,,,
2011/4/20,525.900033,526.820011,521.390021,525.730037,6113800,263.128147,556.5730041,545.1640109,-54.269956,10.21402526,25.34755842,1,521.530018,526.84001,530.699977,578.51003,576.280023,,,,,,,
2011/4/21,527.489994,528.280036,522.389997,525.099992,4935200,262.812809,551.083004,539.4416451,-53.059985,9.25781763,21.4207444,0,525.730037,521.530018,526.84001,530.699977,578.51003,,,,,,,
2011/4/25,525.249988,527.000006,522.010006,525.049993,3258300,262.787784,545.7720056,534.7083703,-52.320004,10.00823176,18.1924944,0,525.099992,525.730037,521.530018,526.84001,530.699977,,,,,,,
2011/4/26,526.520018,537.439995,525.209989,532.819986,6993000,266.67667,541.3170045,532.3534577,-37.789993,22.86182054,16.51730226,1,525.049993,525.099992,525.730037,521.530018,526.84001,,,,,,,
2011/4/27,537.999982,538.109979,534.35001,537.759987,4592200,269.149143,538.0320053,531.7067272,-38.520036,31.03386669,17.9500688,1,532.819986,525.049993,525.099992,525.730037,521.530018,,,,,,,
2011/4/28,538.05998,539.250012,534.080016,537.969982,3996000,269.254245,534.2010012,531.6954503,-40.540048,31.38125302,17.49617727,1,537.759987,532.819986,525.049993,525.099992,525.730037,,,,,,,
2011/4/29,539.999994,544.100016,538.51003,544.100016,8448500,272.32233,530.7599998,533.4952711,13.400039,93.83170509,22.53165283,1,537.969982,537.759987,532.819986,525.049993,525.099992,,,,,,,
2011/5/2,545.699977,545.730037,537.120003,538.560029,4263100,269.549564,531.546005,534.9134583,11.720019,73.17619565,29.75032606,0,544.100016,537.969982,537.759987,532.819986,525.049993,,,,,,,
2011/5/3,537.130003,542.010006,529.630003,533.890021,4158800,267.212223,532.2510061,535.339643,12.360003,52.31569032,33.79203401,0,538.560029,544.100016,537.969982,537.759987,532.819986,,,,,,,
2011/5/4,535.16999,539.000018,533.019981,535.790036,4229700,268.163181,533.6770079,535.983103,10.059999,59.1618962,39.32425022,1,533.890021,538.560029,544.100016,537.969982,537.759987,,,,,,,
